나이,BM지수등급,성별,추천운동명
10대,3단계비만,남자,상지 루틴 스트레칭
10대,3단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
10대,3단계비만,남자,등/어깨 뒤쪽 스트레칭
10대,3단계비만,남자,팔굽혀 펴기
10대,3단계비만,남자,윗몸올리기
10대,3단계비만,남자,엎드려 버티기
10대,3단계비만,남자,앉았다 일어서기
10대,3단계비만,남자,줄넘기
10대,3단계비만,남자,하지 루틴 스트레칭2
10대,3단계비만,남자,전신 루틴 스트레칭
10대,3단계비만,남자,상지 루틴 스트레칭
10대,3단계비만,남자,양발 나란히 서기
10대,2단계비만,여자,점프 후 버티기
10대,3단계비만,남자,벌림 밸런스 운동-60~120도 사이
10대,정상,여자,조깅
10대,정상,여자,목 스트레칭
10대,정상,여자,엉덩이 스트레칭
10대,정상,남자,목 스트레칭
10대,정상,남자,유산소 운동 전 동적 루틴 스트레칭
10대,정상,남자,전신 루틴 스트레칭
10대,정상,남자,앉아서 밴드 잡고 몸통 돌리기
10대,정상,남자,폼롤러 이용 유연성운동 루틴 프로그램
10대,정상,남자,달리기
10대,비만전단계비만,여자,상지 루틴 스트레칭
10대,비만전단계비만,여자,조깅
10대,비만전단계비만,여자,전신 루틴 스트레칭
10대,비만전단계비만,여자,자가근막이완술 루틴 스트레칭
10대,비만전단계비만,여자,무릎굽혀 원 그리기
10대,비만전단계비만,여자,엉덩이 스트레칭
10대,1단계비만,여자,탄력밴드 어깨 가쪽 돌림
10대,1단계비만,여자,옆구리늘리기
10대,1단계비만,여자,폼롤러 이용 유연성운동 루틴 프로그램
10대,1단계비만,여자,턱걸이
10대,1단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
10대,1단계비만,여자,누워서 배가로근 수축 II
10대,1단계비만,여자,네발기기 자세로 팔 다리 들기
10대,2단계비만,남자,엉덩이 스트레칭
10대,2단계비만,남자,목 스트레칭
10대,2단계비만,남자,조깅
10대,2단계비만,남자,상지 루틴 스트레칭
10대,3단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,3단계비만,남자,탄력밴드 어깨 가쪽 돌림
10대,3단계비만,남자,옆구리늘리기
10대,3단계비만,남자,폼롤러 이용 유연성운동 루틴 프로그램
10대,3단계비만,남자,가슴 어깨 펴기
10대,3단계비만,남자,엎드려서 팔 다리 들기
10대,3단계비만,남자,윗몸올리기
10대,3단계비만,남자,누워서 엉덩이 들어올리기
10대,3단계비만,남자,한발 앞으로 내밀고 앉았다 일어서기
10대,3단계비만,남자,달리기
10대,3단계비만,남자,전신 루틴 스트레칭
10대,3단계비만,남자,엉덩이 스트레칭
10대,3단계비만,남자,목 스트레칭
10대,3단계비만,남자,조깅
10대,저체중,남자,가슴/어깨 앞쪽 스트레칭
10대,저체중,남자,트레드밀에서 걷기
10대,정상,여자,앉아서 밴드 잡고 몸통 돌리기
10대,저체중,여자,트레드밀에서 걷기
10대,저체중,여자,가슴/어깨 앞쪽 스트레칭
10대,저체중,여자,몸통 들어올리기
10대,저체중,여자,등/어깨 뒤쪽 스트레칭
10대,저체중,여자,베개 밟고 대각방향으로 서기
10대,저체중,여자,몸통 들어올리기
10대,저체중,여자,서서 바벨 위로 밀기
10대,저체중,여자,바벨들어올리기
10대,저체중,여자,볼 튕기면서 스쿼트
10대,저체중,여자,목봉잡고 앉았다 일어나기
10대,저체중,여자,짐볼 앉기 평형성 운동 루틴 프로그램
10대,저체중,남자,하지 루틴 스트레칭2
10대,저체중,남자,빠르게 걷기
10대,저체중,남자,어깨 스트레칭
10대,저체중,남자,밴드 걸고 엎드려서 다리 구부리기
10대,저체중,남자,계단 올라갔다 내려오기
10대,1단계비만,여자,마주보고 상체 좌우 비틀기
10대,1단계비만,여자,유소년테스트
10대,1단계비만,남자,목 스트레칭
10대,1단계비만,남자,등/어깨 뒤쪽 스트레칭
10대,1단계비만,남자,하지 루틴 스트레칭1
10대,3단계비만,남자,넙다리 뒤쪽 스트레칭
10대,3단계비만,남자,하지 루틴 스트레칭1
10대,3단계비만,남자,하지 루틴 스트레칭2
10대,3단계비만,남자,트레드밀에서 걷기
10대,3단계비만,남자,누워서 전신 뻗기
10대,3단계비만,남자,물병 옆으로 들어올리기
10대,3단계비만,남자,서서 균형잡기
10대,3단계비만,남자,줄넘기
